Designator,Mid X,Mid Y,Layer,Rotation
C1,72.0344,32.4866,TOP,180
C3,30.36062,40.6654,TOP,0
C4,30.94482,-0.14224,TOP,180
C5,31.8008,-21.11502,TOP,270
C6,32.893,-21.12518,TOP,270
C8,18.71218,0.75184,TOP,90
C9,20.09902,1.78562,TOP,270
C10,93.5863,36.40074,TOP,0
C12,18.68932,2.80162,TOP,270
C13,92.05468,35.74288,TOP,90
C14,44.41444,3.25374,TOP,0
C15,93.585538,35.23488,TOP,0
C20,120.6246,24.638,TOP,0
C21,73.6092,38.9636,TOP,180
C22,27.051,5.0292,TOP,180
C26,72.0344,29.4386,TOP,180
C27,38.3794,31.4198,TOP,180
C28,108.576618,29.329888,TOP,0
C31,28.28036,19.449542,TOP,180
C34,120.6246,23.4442,TOP,0
C35,39.69258,15.09522,TOP,180
C36,36.87064,16.01216,TOP,0
C39,34.79292,16.0274,TOP,180
C40,28.28036,13.648182,TOP,0
C43,45.4787,19.008344,TOP,0
C44,108.576618,22.212046,TOP,0
C45,108.576618,20.38731,TOP,0
C46,28.28036,27.196542,TOP,0
C48,76.030328,18.585688,TOP,90
C50,35.5854,21.971,TOP,90
C51,36.6014,21.971,TOP,90
C52,34.1884,22.225,TOP,90
C54,70.89902,17.74444,TOP,90
C55,75.5142,16.5862,TOP,180
C56,37.6174,24.257,TOP,180
C57,108.576618,15.61211,TOP,0
C58,108.576618,16.55191,TOP,0
C59,37.3634,25.654,TOP,180
C60,70.89902,15.00378,TOP,90
C61,75.52182,14.99616,TOP,270
C62,74.0283,14.74978,TOP,270
C63,98.3234,-17.018,TOP,0
C64,28.28036,21.395182,TOP,180
C65,108.576618,12.97051,TOP,0
C66,71.03618,-8.849614,TOP,90
C67,108.576618,12.03071,TOP,0
C68,108.576618,11.09091,TOP,0
C69,30.36062,46.0502,TOP,0
C70,30.36062,44.9072,TOP,0
C71,120.8278,-17.6276,TOP,270
C73,30.36062,43.7642,TOP,0
C74,100.342446,4.953,TOP,270
C75,87.34552,4.953,TOP,270
C76,84.43468,4.8514,TOP,270
C77,30.36062,42.6212,TOP,0
C78,82.79892,4.58978,TOP,270
C79,92.333064,-1.431036,TOP,180
C80,85.0138,2.54762,TOP,0
C81,87.38108,2.548128,TOP,180
C82,90.100912,-1.40081,TOP,0
C84,87.63508,-21.47062,TOP,0
C85,119.80926,35.8902,TOP,0
C86,119.55526,34.29,TOP,180
C222,122.1994,16.1036,TOP,90
C333,125.5014,-0.8128,TOP,180
C555,120.6754,16.1036,TOP,90
C666,123.698,-0.4826,TOP,270
C999,125.5014,16.1036,TOP,90
C1000,126.2634,16.1036,TOP,90
C1100,127.0254,16.1036,TOP,90
C1200,127.7874,16.1036,TOP,90
C1320,7.5692,59.182,TOP,0
C1322,7.5692,-18.39722,TOP,0
C1323,43.7515,-8.79856,TOP,0
C1324,43.7515,-6.91896,TOP,0
C1325,43.7515,-7.85876,TOP,0
C1326,43.7515,-9.73836,TOP,0
C1341,58.64606,53.399436,TOP,180
C1342,58.64606,62.048136,TOP,180
C1343,58.64606,63.000636,TOP,180
C1555,119.126,-0.4826,TOP,270
C1777,121.4374,16.1036,TOP,90
C7024,132.7912,8.128,TOP,180
C7888,119.888,-0.4826,TOP,270
C8024,130.76174,8.128,TOP,0
D1,30.41904,-15.18412,TOP,0
D2,24.81326,-20.64258,TOP,180
D3,38.1254,28.321,TOP,270
D4,113.9444,-16.002,TOP,0
D5,109.474,-10.5156,TOP,0
D6,75.9587,-17.13738,TOP,180
D8,82.758788,-21.47062,TOP,0
D9,2.032,31.952692,YES,0
D10,2.032,34.233612,YES,0
D11,2.032,36.514532,YES,0
D12,2.032,38.795452,YES,0
D13,2.032,41.076372,YES,0
D14,2.032,43.357292,YES,0
D15,2.032,45.638212,YES,0
D17,2.032,47.919132,YES,0
D18,2.032,50.200052,YES,0
D19,2.032,-9.355328,YES,0
D20,2.032,-7.074408,YES,0
D21,2.032,-4.793488,YES,0
D22,2.032,-2.512568,YES,0
D23,2.032,-0.231648,YES,0
D24,2.032,2.049272,YES,0
D25,2.032,4.330192,YES,0
D26,2.032,8.892032,YES,0
D27,2.032,6.611112,YES,0
D29,89.0016,-7.8994,TOP,90
D30,14.6304,-18.0086,TOP,180
D31,14.6304,-20.28952,TOP,180
DS2,73.4822,40.386,TOP,180
DS4,118.5164,-5.307584,TOP,180
DS9,118.5164,-7.09676,TOP,180
DS10,118.5164,-8.885936,TOP,180
F3,12.7,38.596062,TOP,0
F4,12.7,-8.92048,TOP,0
F5,21.12518,-20.64258,TOP,180
F6,11.3284,18.022062,TOP,0
F7,12.7,42.602912,TOP,0
F8,12.7,47.159672,TOP,0
F9,12.7,45.640752,TOP,0
F10,11.3284,16.503142,TOP,0
F11,12.7,44.121832,TOP,0
F12,12.7,4.7498,TOP,0
F13,12.7,3.23088,TOP,0
F14,12.7,1.71196,TOP,0
F15,12.7,0.19304,TOP,0
F16,12.7,-1.32588,TOP,0
F17,12.7,-5.88264,TOP,0
F18,12.7,-7.40156,TOP,0
F19,12.7,-4.36372,TOP,0
F20,12.7,35.558222,TOP,0
F21,12.7,41.083992,TOP,0
F22,58.64606,60.717176,TOP,0
F23,12.7,-2.8448,TOP,0
J5,29.25826,-20.5359,TOP,180
J7,42.2148,28.42768,TOP,90
J10,18.7452,20.422362,TOP,180
J11,89.0016,-17.399,TOP,90
J15,130.120644,35.433,TOP,90
J16,19.4056,43.5356,TOP,180
J17,9.02716,46.576742,TOP,270
J28,132.861812,20.422362,TOP,90
J30,125.794008,-13.187934,TOP,0
J31,9.02716,5.268722,TOP,270
J32,32.813752,-7.05866,TOP,0
L3,25.54478,1.82372,TOP,180
L4,120.6246,21.7932,TOP,180
L5,33.5534,20.193,TOP,0
L7,75.70216,-12.58062,TOP,90
L8,99.6188,-14.859,TOP,180
L53,118.77294,16.1036,TOP,90
L222,115.7351,16.1036,TOP,270
L333,117.25402,16.1036,TOP,270
P1,81.342484,39.4462,TOP,180
P2,16.1925,1.22428,TOP,270
P4,12.1285,59.4614,TOP,90
Q1,62.992,16.5608,TOP,90
R1,25.72512,-16.836644,TOP,270
R2,26.9113,-16.836644,TOP,270
R3,43.688,-18.4404,TOP,180
R4,32.11576,-18.3896,TOP,90
R15,91.952826,39.228522,TOP,0
R17,43.688,-19.8882,TOP,180
R19,89.3572,39.2684,TOP,180
R21,72.0344,34.0106,TOP,180
R23,21.63318,0.75184,TOP,90
R26,44.41444,1.06934,TOP,180
R28,44.41444,2.16154,TOP,180
R29,72.0344,33.2486,TOP,180
R30,21.63318,2.80162,TOP,270
R34,30.94482,3.48742,TOP,0
R35,75.8952,38.9636,TOP,0
R36,44.41444,4.34594,TOP,180
R40,72.0344,31.7246,TOP,0
R41,44.41444,5.43814,TOP,180
R42,29.38018,5.50164,TOP,270
